Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
5080;20.308;29.846
5085;20.308;30.0
5090;20.462;30.0
5095;20.462;30.0
5100;20.462;30.0
5105;20.462;29.846
5110;20.462;29.846
5115;20.615;30.0
5120;20.462;30.0
5125;20.308;30.0
5130;20.308;30.0
5135;20.154;30.0
5140;20.308;30.0
5145;20.462;29.846
5150;20.462;29.846
5155;20.462;30.0
5160;20.615;30.0
5165;20.615;30.0
5170;20.615;30.0
5175;20.615;30.0
5180;20.615;30.0
5185;20.615;30.0
5190;20.615;30.0
5195;20.462;30.154
5200;20.308;30.0
5205;20.308;30.154
5210;20.308;30.154
5215;20.308;30.154
5220;20.462;30.154
5225;20.462;30.154
5230;20.462;30.154
5235;20.462;30.154
5240;20.615;30.154
5245;20.769;30.154
5250;20.615;30.154
5255;20.615;30.154
5260;20.615;30.308
5265;20.462;30.308
5270;20.615;30.462
5275;20.615;30.615
5280;20.615;30.615
5285;20.615;30.615
5290;20.769;30.615
5295;20.923;30.615
5300;20.923;30.769
5305;20.769;30.769
5310;20.769;30.769
5315;20.923;30.769
5320;21.077;30.615
5325;21.077;30.615
5330;21.077;30.769
5335;21.077;30.769
5340;21.077;30.769
5345;20.923;30.769
5350;21.077;30.615
5355;20.923;30.462
5360;20.923;30.462
5365;20.923;30.308
5370;21.077;30.308
5375;21.077;30.308
5380;21.077;30.308
5385;21.077;30.308
5390;21.077;30.462
5395;21.231;30.462
5400;21.231;30.308
5405;21.385;30.308
5410;21.385;30.308
5415;21.385;30.308
5420;21.385;30.308
5425;21.385;30.308
5430;21.846;30.308
5435;21.846;30.308
5440;21.846;30.308
5445;22.0;30.308
5450;22.154;30.154
5455;22.308;30.308
5460;22.462;30.308
5465;22.308;30.308
5470;22.308;30.154
5475;22.308;30.0
5480;22.308;30.0
5485;22.308;30.0
5490;22.462;30.0
5495;22.615;30.154
5500;22.308;30.154
5505;22.308;30.154
5510;22.308;30.308
5515;22.615;30.308
5520;22.615;30.308
5525;22.769;30.462
5530;22.923;30.462
5535;23.231;30.462
5540;23.231;30.462
5545;23.231;30.308
5550;23.385;30.308
5555;23.231;30.308
5560;23.231;30.462
5565;23.077;30.462
5570;23.077;30.462
5575;23.077;30.462
5580;23.077;30.462
5585;23.231;30.462
5590;23.385;30.462
5595;23.385;30.462
5600;23.385;30.462
5605;23.385;30.308
5610;23.538;30.308
5615;23.538;30.308
5620;23.538;30.154
5625;23.538;30.308
5630;23.692;30.308
5635;23.692;30.462
5640;23.846;30.308
5645;24.0;30.308
5650;24.0;30.308
5655;24.0;30.154
5660;24.0;30.154
5665;24.0;30.462
5670;24.0;30.615
5675;24.0;30.769
5680;24.154;30.769
5685;24.154;30.769
5690;24.154;30.769
5695;24.308;30.769
5700;24.308;30.769
5705;24.308;30.615
5710;24.308;30.615
5715;24.308;30.769
5720;24.462;30.923
5725;24.462;30.923
5730;24.462;30.923
5735;24.462;30.923
5740;24.462;30.923
5745;24.615;30.923
5750;24.769;30.923
5755;24.769;30.923
5760;24.923;30.923
5765;24.923;30.923
5770;25.077;30.923
5775;25.077;31.077
5780;25.077;31.077
5785;25.077;31.077
5790;25.077;31.077
5795;25.231;31.077
5800;25.231;31.077
5805;25.231;31.231
5810;25.231;31.231
5815;25.231;31.231
5820;25.231;31.231
5825;25.231;31.077
5830;25.231;31.385
5835;25.231;31.385
5840;25.231;31.385
5845;25.231;31.385
5850;25.231;31.538
5855;25.231;31.692
5860;25.231;31.846
5865;25.231;31.692
5870;25.231;31.538
5875;25.231;31.538
5880;25.385;31.385
5885;25.385;31.538
5890;25.538;31.538
5895;25.692;31.538
5900;25.692;31.692
5905;25.692;31.692
5910;25.692;31.538
5915;25.692;31.385
5920;25.692;31.538
5925;25.692;31.692
5930;25.692;31.846
5935;25.692;31.846
5940;25.692;31.846
5945;25.692;32.0
5950;26.0;32.0
5955;26.0;32.0
5960;26.0;32.0
5965;26.308;32.0
5970;26.462;32.0
5975;26.462;32.0
5980;26.462;32.154
5985;26.462;32.308
5990;26.462;32.308
5995;26.462;32.308
6000;26.462;32.308
6005;26.462;32.462
6010;26.615;32.462
6015;26.769;32.462
6020;26.769;32.462
6025;26.769;32.462
6030;26.923;32.462
6035;27.077;32.462
6040;27.231;32.462
6045;27.231;32.615
6050;27.231;32.615
6055;27.231;32.615
6060;27.231;32.769
6065;27.231;32.769
6070;27.385;32.769
6075;27.385;32.615
6080;27.385;32.615
6085;27.538;32.615
6090;27.538;32.615
6095;27.538;32.615
6100;27.538;32.615
6105;27.692;32.615
6110;27.846;32.615
6115;28.0;32.615
6120;28.154;32.615
6125;28.154;32.615
6130;28.308;32.615
6135;28.308;32.615
6140;28.308;32.769
6145;28.308;32.923
6150;28.308;32.923
6155;28.308;32.923
6160;28.308;32.923
6165;28.308;32.923
6170;28.308;32.923
6175;28.308;33.077
6180;28.462;33.231
6185;28.462;33.231
6190;28.462;33.231
6195;28.462;33.231
6200;28.769;33.231
6205;28.769;33.385
6210;28.769;33.385
6215;28.923;33.385
6220;28.923;33.231
6225;29.077;33.231
6230;29.231;33.385
6235;29.077;33.538
6240;29.231;33.385
6245;29.231;33.385
6250;29.231;33.538
6255;29.231;33.692
6260;29.231;33.692
6265;29.231;33.846
6270;29.385;33.846
6275;29.385;34.0
6280;29.538;34.154
6285;29.538;34.308
6290;29.538;34.462
6295;29.538;34.462
